"column_record_id","record_scope","report_catalog_index","report_title","report_subject_area","report_path","column_index","column_source","column_xml_type","column_id","column_name","report_display_name","table_heading","column_heading","formula_type","formula","bin_rule_count","definition_catalog_index","definition_name","definition_table_heading","definition_column_heading","definition_path","is_resolved","is_referenced"
"C11","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",2,"saved_reference","savedRegularColumnRef","ca8d2eeabbce647e8","UCB Library Stats Category","Physical - UCB Library Stats Category",,,"binned","""Location"".""Library Code""",12,270,"Physical - UCB Library Stats Category","Location","UCB Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB Library Stats Category",TRUE,
"C12","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",3,"inline","regularColumn","ceca1c36df544247d","""Item Location at Time of Loan"".""Library Name""","""Item Location at Time of Loan"".""Library Name""",,,"sqlExpression","""Item Location at Time of Loan"".""Library Name""",0,,,,,,,
"C13","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",4,"inline","regularColumn","c69b0161ed0e9a6b0","""Item Location at Time of Loan"".""Library Code""","""Item Location at Time of Loan"".""Library Code""",,,"sqlExpression","""Item Location at Time of Loan"".""Library Code""",0,,,,,,,
"C14","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",5,"inline","regularColumn","c7775baed45c425ce","""Item Location at Time of Loan"".""Location Name""","""Item Location at Time of Loan"".""Location Name""",,,"sqlExpression","""Item Location at Time of Loan"".""Location Name""",0,,,,,,,
"C15","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",6,"inline","regularColumn","ccacb50b278ae6e74","""Item Location at Time of Loan"".""Location Code""","""Item Location at Time of Loan"".""Location Code""",,,"sqlExpression","""Item Location at Time of Loan"".""Location Code""",0,,,,,,,
"C16","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",7,"saved_reference","savedRegularColumnRef","cd7f6c6cdf1292bb0","UCB Check-Out Type","Fulfillment - UCB Check-Out Type",,,"binned","""Item Location at Time of Loan"".""Location Code""",5,233,"Fulfillment - UCB Check-Out Type","Item Location at Time of Loan","UCB Check-Out Type","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB Check-Out Type",TRUE,
"C17","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",8,"saved_reference","savedRegularColumnRef","cc1fbfaa1945d6cc6","Alma User Group","Fulfillment - Alma User Group",,,"sqlExpression","""Borrower Details"".""User Group""",0,222,"Fulfillment - Alma User Group","Borrower Details","Alma User Group","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - Alma User Group",TRUE,
"C18","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",9,"saved_reference","savedRegularColumnRef","c12802b0ecfd1cd48","UCB User Group (for reporting)","Fulfillment - UCB User Group",,,"binned","""Borrower Details"".""User Group""",11,235,"Fulfillment - UCB User Group","Borrower Details","UCB User Group (for reporting)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - UCB User Group",TRUE,
"C19","report_column",10,"UCB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCB Physical Collection Usage",10,"saved_reference","savedRegularColumnRef","c788181f479f2fddd","FY 2025-26 Loans (Not In House)","Fulfillment - FY 2025-26 Loans (Not In House)",,,"sqlExpression","""Loan"".""Loans (Not In House)""",0,229,"Fulfillment - FY 2025-26 Loans (Not In House)","Loan","FY 2025-26 Loans (Not In House)","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans (Not In House)",TRUE,
"C20","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",1,"saved_reference","savedRegularColumnRef","cecd143a46aafb659","Campus designator","Campus designator",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB SLF/Campus designator",FALSE,
"C21","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",2,"saved_reference","savedRegularColumnRef","c69af768f28a5dc62","Building","RM Building - UCB",,,"binned","""Location"".""Location Code""",32,305,"RM Building - UCB","Location","Building","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/RM Building - UCB",TRUE,
"C22","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",3,"inline","regularColumn","c91ff931798db204d","""Location"".""Library Name""","""Location"".""Library Name""",,,"sqlExpression","""Location"".""Library Name""",0,,,,,,,
"C23","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",4,"inline","regularColumn","c0a97a99fcff08d4d","""Location"".""Library Code""","""Location"".""Library Code""",,,"sqlExpression","""Location"".""Library Code""",0,,,,,,,
"C24","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",5,"inline","regularColumn","cd78d80d9721dafa1","""Location"".""Location Name""","""Location"".""Location Name""",,,"sqlExpression","""Location"".""Location Name""",0,,,,,,,
"C25","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",6,"inline","regularColumn","cca373db07e6d8158","""Location"".""Location Code""","""Location"".""Location Code""",,,"sqlExpression","""Location"".""Location Code""",0,,,,,,,
"C26","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",7,"inline","regularColumn","c5857dd5f99741e00","""Bibliographic Details"".""Resource Type""","""Bibliographic Details"".""Resource Type""",,,"sqlExpression","""Bibliographic Details"".""Resource Type""",0,,,,,,,
"C27","report_column",16,"UCB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCB Risk Management Report",8,"saved_reference","savedRegularColumnRef","c36d41845231ae347","Count of Physical Holdings","Count of Physical Holdings",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",FALSE,
"C28","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",1,"saved_reference","savedRegularColumnRef","c1f610dcccbc115d7","Systemwide Library Facility","Physical - Systemwide Library Facility",,,"binned","""Institution"".""Institution Name""",2,269,"Physical - Systemwide Library Facility","Institution","Systemwide Library Facility","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Systemwide Library Facility",TRUE,
"C29","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",2,"saved_reference","savedRegularColumnRef","caa073b6d8c3d39ac","SLF Depositor","Physical - SLF Depositor",,,"binned","""Institution"".""Institution Name""",32,266,"Physical - SLF Depositor","Institution","SLF Depositor","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - SLF Depositor",TRUE,
"C30","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",3,"inline","regularColumn","cd4897b469b0520d2","""Location"".""Library Name""","""Location"".""Library Name""",,,"sqlExpression","""Location"".""Library Name""",0,,,,,,,
"C31","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",4,"inline","regularColumn","cb6b886e5442e7b4e","""Location"".""Library Code""","""Location"".""Library Code""",,,"sqlExpression","""Location"".""Library Code""",0,,,,,,,
"C32","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",5,"inline","regularColumn","c741826d9144c87ab","""Location"".""Location Name""","""Location"".""Location Name""",,,"sqlExpression","""Location"".""Location Name""",0,,,,,,,
"C33","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",6,"inline","regularColumn","c5f7c80cc993d72e0","""Location"".""Location Code""","""Location"".""Location Code""",,,"sqlExpression","""Location"".""Location Code""",0,,,,,,,
"C34","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",7,"inline","regularColumn","cf158c28723a11737","""Bibliographic Details"".""Resource Type""","""Bibliographic Details"".""Resource Type""",,,"sqlExpression","""Bibliographic Details"".""Resource Type""",0,,,,,,,
"C35","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",8,"inline","regularColumn","c3e0fd06505b10cd6","""Bibliographic Details"".""Material Type""","""Bibliographic Details"".""Material Type""",,,"sqlExpression","""Bibliographic Details"".""Material Type""",0,,,,,,,
"C36","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",9,"saved_reference","savedRegularColumnRef","c886b316b33474744","Holdings","Physical - Count of Physical Holdings",,,"sqlExpression","COUNT(DISTINCT ""Physical Item Details"".""Physical Item Id"")",0,262,"Physical - Count of Physical Holdings","Physical Item Details","Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Holdings",TRUE,
"C37","report_column",17,"SLF Physical Holdings and Titles Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF Physical Holdings and Titles Report",10,"saved_reference","savedRegularColumnRef","c41b53947686dd560","Titles","Physical - Count of Physical Titles",,,"sqlExpression","COUNT(DISTINCT ""Bibliographic Details"".""MMS ID"")",0,263,"Physical - Count of Physical Titles","Bibliographic Details","Titles","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Count of Physical Titles",TRUE,
"C38","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",1,"saved_reference","savedRegularColumnRef","cecd143a46aafb659","Campus designator","Campus designator",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB SLF/Campus designator",FALSE,
"C39","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",2,"saved_reference","savedRegularColumnRef","c99e3c2efb0c6520c","UCB Library Stats Category","UCB Library Stats Category",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Library Stats Category",FALSE,
"C40","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",3,"inline","regularColumn","c91ff931798db204d","""Location"".""Library Name""","""Location"".""Library Name""",,,"sqlExpression","""Location"".""Library Name""",0,,,,,,,
"C41","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",4,"inline","regularColumn","c0a97a99fcff08d4d","""Location"".""Library Code""","""Location"".""Library Code""",,,"sqlExpression","""Location"".""Library Code""",0,,,,,,,
"C42","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",5,"inline","regularColumn","cd78d80d9721dafa1","""Location"".""Location Name""","""Location"".""Location Name""",,,"sqlExpression","""Location"".""Location Name""",0,,,,,,,
"C43","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",6,"inline","regularColumn","cca373db07e6d8158","""Location"".""Location Code""","""Location"".""Location Code""",,,"sqlExpression","""Location"".""Location Code""",0,,,,,,,
"C44","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",7,"saved_reference","savedRegularColumnRef","c36d41845231ae347","Count of Physical Holdings","Count of Physical Holdings",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Holdings",FALSE,
"C45","report_column",23,"UCB Library categorization report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report",8,"saved_reference","savedRegularColumnRef","c750011e955f0e06f","Count of Physical Titles","Count of Physical Titles",,,,,0,,,,,"/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Count of Physical Titles",FALSE,
"C46","report_column",25,"UCB eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCB eResources Library Categorization Report",1,"inline","regularColumn","c2a53da92d15619df","""Institution"".""Institution Name""","""Institution"".""Institution Name""",,,"sqlExpression","""Institution"".""Institution Name""",0,,,,,,,
"C47","report_column",25,"UCB eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCB eResources Library Categorization Report",2,"saved_reference","savedRegularColumnRef","c93c38f9d46dde768","eResources Library Stats Category","Electronic - Global Stats Electronic Library Categories",,,"binned","""Portfolio Library Unit"".""Library Name""",4,24,"Electronic - Global Stats Electronic Library Categories","UCOP Stats","eResources Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",TRUE,
"C48","report_column",25,"UCB eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCB eResources Library Categorization Report",3,"inline","regularColumn","c16b804d4f2a9bfed","""Portfolio Library Unit"".""Library Name""","""Portfolio Library Unit"".""Library Name""",,,"sqlExpression","""Portfolio Library Unit"".""Library Name""",0,,,,,,,
"C49","report_column",25,"UCB eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCB eResources Library Categorization Report",4,"inline","regularColumn","c9a2b1a7e8a8fa595","""Portfolio Library Unit"".""Library Code""","""Portfolio Library Unit"".""Library Code""",,,"sqlExpression","""Portfolio Library Unit"".""Library Code""",0,,,,,,,
"C50","report_column",27,"UCB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report",1,"saved_reference","savedRegularColumnRef","c2f893792b76abc19","eResources include/exclude designator","excluded designator",,,"binned","""Electronic Collection"".""Electronic Collection Interface Name""",33,7,"Electronic - Global Stats Electronic included/excluded designator","Electronic Collection","eResources include/exclude designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic included/excluded designator",TRUE,
"C51","report_column",27,"UCB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report",2,"saved_reference","savedRegularColumnRef","c05faa4dd6d01cde3","UCB eResources Managed By designator","Electronic - UCB eResources Managed By designator",,,"binned","""Institution"".""Institution Name""",3,57,"Electronic - UCB eResources Managed By designator","Institution","UCB eResources Managed By designator","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - UCB eResources Managed By designator",TRUE,
"C52","report_column",27,"UCB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report",3,"saved_reference","savedRegularColumnRef","c8d7196b3700a77af","eResources Library Stats Category","Electronic - Global Stats Electronic Library Categories",,,"binned","""Portfolio Library Unit"".""Library Name""",4,24,"Electronic - Global Stats Electronic Library Categories","UCOP Stats","eResources Library Stats Category","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories",TRUE,
"C53","report_column",27,"UCB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report",4,"inline","regularColumn","c4ef4894aea57bf83","""Bibliographic Details"".""Resource Type""","""Bibliographic Details"".""Resource Type""",,,"sqlExpression","""Bibliographic Details"".""Resource Type""",0,,,,,,,
"C54","report_column",27,"UCB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report",5,"saved_reference","savedRegularColumnRef","cd87aa1ad93da9a01","Holdings","Electronic - Count of Electronic Holdings",,,"sqlExpression","COUNT(DISTINCT ""Portfolio"".""Portfolio Id"")",0,1,"Electronic - Count of Electronic Holdings","Portfolio","Holdings","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Count of Electronic Holdings",TRUE,
