"report_catalog_index","report_title","report_subject_area","report_path","filter_index","group_path","nesting_level","join_operator","filter_source","expression_type","operator","field","filter_text","saved_filter_name","saved_filter_path","value_count","value_preview"
151,"UCR Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 4706)",,,3,"6532 | 6533 | 4706"
151,"UCR Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCR')",,,3,"SLF-N | SLF-S | UCR"
151,"UCR Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
151,"UCR Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCR Physical Filters","UCR Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCR Physical Filters",,
151,"UCR Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCR Risk Management Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCR SCA exclusions","UCR SCA exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCR SCA exclusions",,
154,"UCM eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCM eResources Library Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6534",,,1,"6534"
162,"UCM Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6531, 6534)",,,2,"6531 | 6534"
162,"UCM Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCM Electronic Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCM')",,,2,"Managed by CDL | Managed by UCM"
164,"UCI Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4701",,,1,"4701"
164,"UCI Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: FY 2025-26 Loans","FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/FY 2025-26 Loans",,
164,"UCI Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI Check-Out Type Categorization Report",3,"1.3",2,"and","inline","comparison","equal","""Loan Details"".""In House Loan Indicator""","""Loan Details"".""In House Loan Indicator"" = 'N'",,,1,"N"
166,"UCSB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 3776",,,1,"3776"
166,"UCSB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Fulfillment - FY 2025-26 Loans","Fulfillment - FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",,
166,"UCSB Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSB Physical Collection Usage",3,"1.3",2,"and","inline","comparison","greater","""Loan"".""Loans (Not In House)""","""Loan"".""Loans (Not In House)"" > 0",,,1,"0"
170,"UCSB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSB Risk Management Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 3776)",,,3,"6532 | 6533 | 3776"
170,"UCSB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSB Risk Management Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSB')",,,3,"SLF-N | SLF-S | UCSB"
170,"UCSB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSB Risk Management Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
170,"UCSB Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSB Risk Management Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSB Physical filters","UCSB Physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSB Physical filters",,
171,"UCI User Group Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCI User Group Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4701",,,1,"4701"
174,"UCR eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCR eResources Comparison Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (4706, 6531)",,,2,"4706 | 6531"
174,"UCR eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCR eResources Comparison Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCR')",,,2,"Managed by CDL | Managed by UCR"
175,"UCR eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCR eResources Library Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4706",,,1,"4706"
177,"UCR Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 4706)",,,3,"6532 | 6533 | 4706"
177,"UCR Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCR')",,,3,"SLF-N | SLF-S | UCR"
177,"UCR Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
177,"UCR Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCR Physical Filters","UCR Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCR Physical Filters",,
177,"UCR Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCR Library Categorization Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCR SCA exclusions","UCR SCA exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCR SCA exclusions",,
178,"UCR Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCR Electronic Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (4706, 6531)",,,2,"4706 | 6531"
178,"UCR Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCR Electronic Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCR')",,,2,"Managed by CDL | Managed by UCR"
181,"UCLA Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA Check-Out Type Categorization Report",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6533",,,1,"6533"
181,"UCLA Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA Check-Out Type Categorization Report",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: FY 2025-26 Loans","FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/FY 2025-26 Loans",,
181,"UCLA Check-Out Type Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA Check-Out Type Categorization Report",3,"1.3",2,"and","inline","comparison","equal","""Loan Details"".""In House Loan Indicator""","""Loan Details"".""In House Loan Indicator"" = 'N'",,,1,"N"
182,"UCSC Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSC Physical Collection Usage",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 4876",,,1,"4876"
182,"UCSC Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSC Physical Collection Usage",2,"1.2",2,"and","saved_reference","savedFilter",,,"Saved filter: Fulfillment - FY 2025-26 Loans","Fulfillment - FY 2025-26 Loans","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Fulfillment - FY 2025-26 Loans",,
182,"UCSC Physical Collection Usage","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCSC Physical Collection Usage",3,"1.3",2,"and","inline","comparison","greater","""Loan"".""Loans (Not In House)""","""Loan"".""Loans (Not In House)"" > 0",,,1,"0"
183,"UCSB eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSB eResources Comparison Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (3776, 6531)",,,2,"3776 | 6531"
183,"UCSB eResources Comparison Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCSB eResources Comparison Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSB')",,,2,"Managed by CDL | Managed by UCSB"
184,"UCSC Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 4876)",,,3,"6532 | 6533 | 4876"
184,"UCSC Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSC')",,,3,"SLF-N | SLF-S | UCSC"
184,"UCSC Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
184,"UCSC Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSC Physical Filters","UCSC Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSC Physical Filters",,
184,"UCSC Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSC Risk Management Report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSC SCA Exclusions","UCSC SCA Exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSC SCA Exclusions",,
185,"UCSB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSB Electronic Holdings and Titles Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (3776, 6531)",,,2,"3776 | 6531"
185,"UCSB Electronic Holdings and Titles Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCSB Electronic Holdings and Titles Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCSB')",,,2,"Managed by CDL | Managed by UCSB"
186,"UCSB eResources Library Categorization Report","E-Inventory","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCSB eResources Library Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 3776",,,1,"3776"
187,"UCSB Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSB Library Categorization Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533, 3776)",,,3,"6532 | 6533 | 3776"
187,"UCSB Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSB Library Categorization Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSB')",,,3,"SLF-N | SLF-S | UCSB"
187,"UCSB Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSB Library Categorization Report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
187,"UCSB Library Categorization Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCSB Library Categorization Report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCSB Physical filters","UCSB Physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCSB Physical filters",,
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",1,"1.1",2,"and","inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6533",,,1,"6533"
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",2,"1.2",2,"and","inline","list","in","""Location"".""Library Code""","""Location"".""Library Code"" IN ('NRLF', 'SRLF')",,,2,"NRLF | SRLF"
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Physical - Global stats physical filters","Physical - Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - Global stats physical filters",,
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: Physical - UCB Physical Filters","Physical - UCB Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Physical - UCB Physical Filters",,
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",5,"1.5.1",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('DD0004455382', 'DD0004455390', 'DD0004455408', 'DD0004455416', 'DD0004455424', 'DD0004455432', 'DD0004455440', 'DD0004455457', 'DD0004455465', 'DD0004455473', … (+9989 more))",,,9999,"DD0004455382 | DD0004455390 | DD0004455408 | DD0004455416 | DD0004455424 | DD0004455432 | DD0004455440 | DD0004455457 | DD0004455465 | DD0004455473 | … (+9989 more)"
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",6,"1.5.2",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('DD0004555389', 'DD0004555397', 'DD0004555405', 'DD0004555413', 'DD0004555421', 'DD0004555439', 'DD0004555447', 'DD0004555454', 'DD0004555462', 'DD0004555470', … (+9989 more))",,,9999,"DD0004555389 | DD0004555397 | DD0004555405 | DD0004555413 | DD0004555421 | DD0004555439 | DD0004555447 | DD0004555454 | DD0004555462 | DD0004555470 | … (+9989 more)"
188,"SLF-S Added Physical Holdings and Titles Report part 2","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report part 2",7,"1.5.3",3,"or","inline","list","in","""Physical Item Details"".""Barcode""","""Physical Item Details"".""Barcode"" IN ('DD0004655445', 'DD0004655452', 'DD0004655460', 'DD0004655478', 'DD0004655486', 'DD0004655494', 'DD0004655502', 'DD0004655510', 'DD0004655528', 'DD0004655536', … (+5271 more))",,,5281,"DD0004655445 | DD0004655452 | DD0004655460 | DD0004655478 | DD0004655486 | DD0004655494 | DD0004655502 | DD0004655510 | DD0004655528 | DD0004655536 | … (+5271 more)"
189,"UCB physical holdings and titles report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6532, 6533)",,,2,"6532 | 6533"
189,"UCB physical holdings and titles report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCB')",,,3,"SLF-N | SLF-S | UCB"
189,"UCB physical holdings and titles report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",3,"1.3",2,"and","saved_reference","savedFilter",,,"Saved filter: Global stats physical filters","Global stats physical filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Global stats physical filters",,
189,"UCB physical holdings and titles report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",4,"1.4",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB Physical Filters","UCB Physical Filters","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB Physical Filters",,
189,"UCB physical holdings and titles report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/UCB physical holdings and titles report",5,"1.5",2,"and","saved_reference","savedFilter",,,"Saved filter: UCB SCA exclusions","UCB SCA exclusions","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/UCB SCA exclusions",,
190,"UCLA User Group Categorization Report","Fulfillment","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCLA User Group Categorization Report",1,"1",1,,"inline","comparison","equal","""Institution"".""Institution Name""","""Institution"".""Institution Name"" = 6533",,,1,"6533"
191,"UCSD Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",1,"1.1",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN (6535, 6532, 6533)",,,3,"6535 | 6532 | 6533"
191,"UCSD Risk Management Report","Physical Items","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCSD Risk Management Report",2,"1.2",2,"and","inline","list","in","""Institution"".""Institution Name""","""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCSD')",,,3,"SLF-N | SLF-S | UCSD"
