"rule_id","rule_type","source_type","record_scope","rule_name","rule_index","criterion_text","review_label","explanation","criterion_text_category","join_operator","value_count","report_catalog_index","report_title","report_path","report_filter_index","definition_catalog_index","definition_name","definition_path"
"RF55-R2","Filter","inline","report_inline","UCD Library categorization report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCD')","","",,"and",3,55,"UCD Library categorization report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCD Library categorization report",2,,,
"RF56-R1","Filter","inline","report_inline","UCD eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (3126, 6531)","","",,"and",2,56,"UCD eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCD eResources Comparison Report",1,,,
"RF56-R2","Filter","inline","report_inline","UCD eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCD')","","",,"and",2,56,"UCD eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCD eResources Comparison Report",2,,,
"RF60-R1","Filter","inline","report_inline","UCB User Group Categorization Report",1,"""Institution"".""Institution Name"" = 6532","","",,,1,60,"UCB User Group Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCB User Group Categorization Report",1,,,
"RF65-R1","Filter","inline","report_inline","UCD Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (3126, 6531)","","",,"and",2,65,"UCD Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCD Electronic Holdings and Titles Report",1,,,
"RF65-R2","Filter","inline","report_inline","UCD Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCD')","","",,"and",2,65,"UCD Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCD Electronic Holdings and Titles Report",2,,,
"RF66-R1","Filter","inline","report_inline","UCI Physical Collection Usage",1,"""Institution"".""Institution Name"" = 4701","","",,"and",1,66,"UCI Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCI Physical Collection Usage",1,,,
"RF66-R3","Filter","inline","report_inline","UCI Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,66,"UCI Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCI Physical Collection Usage",3,,,
"RF67-R1","Filter","inline","report_inline","UCI Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 4701, 6533)","","",,"and",3,67,"UCI Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCI Risk Management Report",1,,,
"RF67-R2","Filter","inline","report_inline","UCI Risk Management Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCI')","","",,"and",3,67,"UCI Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCI Risk Management Report",2,,,
"RF74-R1","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report",1,"""Institution"".""Institution Name"" = 6533","","",,"and",1,74,"SLF-S Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report",1,,,
"RF74-R2","Filter","inline","report_inline","SLF-S Added Physical Holdings and Titles Report",2,"""Location"".""Library Code"" IN ('NRLF', 'SRLF')","","",,"and",2,74,"SLF-S Added Physical Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical/SLF-S Added Physical Holdings and Titles Report",2,,,
"RF83-R1","Filter","inline","report_inline","UCI Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6532, 4701, 6533)","","",,"and",3,83,"UCI Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report",1,,,
"RF83-R2","Filter","inline","report_inline","UCI Library Categorization Report",2,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCI')","","",,"and",3,83,"UCI Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCI Library Categorization Report",2,,,
"RF85-R1","Filter","inline","report_inline","UCI eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 4701","","",,,1,85,"UCI eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCI eResources Library Categorization Report",1,,,
"RF89-R1","Filter","inline","report_inline","UCD Check-Out Type Categorization Report",1,"""Institution"".""Institution Name"" = 3126","","",,"and",1,89,"UCD Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD Check-Out Type Categorization Report",1,,,
"RF89-R3","Filter","inline","report_inline","UCD Check-Out Type Categorization Report",3,"""Loan Details"".""In House Loan Indicator"" = 'N'","","",,"and",1,89,"UCD Check-Out Type Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD Check-Out Type Categorization Report",3,,,
"RF92-R1","Filter","inline","report_inline","UCI Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (4701, 6531)","","",,"and",2,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report",1,,,
"RF92-R2","Filter","inline","report_inline","UCI Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCI')","","",,"and",2,92,"UCI Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCI Electronic Holdings and Titles Report",2,,,
"RF95-R1","Filter","inline","report_inline","UCLA Risk Management Report",1,"""Institution"".""Institution Name"" IN (6532, 6533)","","",,"and",2,95,"UCLA Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCLA Risk Management Report",1,,,
"RF95-R5","Filter","inline","report_inline","UCLA Risk Management Report",5,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCLA')","","",,"and",3,95,"UCLA Risk Management Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Risk Management/UCLA Risk Management Report",5,,,
"RF96-R1","Filter","inline","report_inline","UCLA Physical Collection Usage",1,"""Institution"".""Institution Name"" = 6533","","",,"and",1,96,"UCLA Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCLA Physical Collection Usage",1,,,
"RF96-R3","Filter","inline","report_inline","UCLA Physical Collection Usage",3,"""Loan"".""Loans (Not In House)"" > 0","","",,"and",1,96,"UCLA Physical Collection Usage","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Physical Collection Usage/UCLA Physical Collection Usage",3,,,
"RF105-R1","Filter","inline","report_inline","UCI eResources Comparison Report",1,"""Institution"".""Institution Name"" IN (4701, 6531)","","",,"and",2,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report",1,,,
"RF105-R2","Filter","inline","report_inline","UCI eResources Comparison Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCI')","","",,"and",2,105,"UCI eResources Comparison Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/eResources Comparison/UCI eResources Comparison Report",2,,,
"RF113-R1","Filter","inline","report_inline","UCLA Library Categorization Report",1,"""Institution"".""Institution Name"" IN (6532, 6533)","","",,"and",2,113,"UCLA Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report",1,,,
"RF113-R5","Filter","inline","report_inline","UCLA Library Categorization Report",5,"""Institution"".""Institution Name"" IN ('SLF-N', 'SLF-S', 'UCLA')","","",,"and",3,113,"UCLA Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCLA Library Categorization Report",5,,,
"RF116-R1","Filter","inline","report_inline","UCD User Group Categorization Report",1,"""Institution"".""Institution Name"" = 3126","","",,,1,116,"UCD User Group Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Fulfillment preparation review reports/UCD User Group Categorization Report",1,,,
"RF119-R1","Filter","inline","report_inline","UCLA Electronic Holdings and Titles Report",1,"""Institution"".""Institution Name"" IN (6533, 6531)","","",,"and",2,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report",1,,,
"RF119-R2","Filter","inline","report_inline","UCLA Electronic Holdings and Titles Report",2,"""Institution"".""Institution Name"" IN ('Managed by CDL', 'Managed by UCLA')","","",,"and",2,119,"UCLA Electronic Holdings and Titles Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCLA Electronic Holdings and Titles Report",2,,,
"RF123-R1","Filter","inline","report_inline","UCLA eResources Library Categorization Report",1,"""Institution"".""Institution Name"" = 6533","","",,,1,123,"UCLA eResources Library Categorization Report","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCLA eResources Library Categorization Report",1,,,
