"rule_name","criterion_text","review_label","explanation","criterion_text_category","rule_id","rule_type","source_workbook","join_operator","value_count"
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Z 18 998' AND 'Z 18 999'","","",,"F3-C61","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Z 19 000' AND 'Z 19 024'","","",,"F3-C62","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" BETWEEN 'Z 19 027' AND 'Z 19 027'","","",,"F3-C63","Filter","Filter Review","OR",0
"Physical - SLF-N FY 2026 accessions","""Physical Item Details"".""Barcode"" IN ('Z 18 798', 'Z 18 799')","","",,"F3-C64","Filter","Filter Review","OR",2
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Lifecycle"" = 'Active'","","",,"F4-C65","Filter","Filter Review","AND",0
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C66","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C67","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C68","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C69","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C70","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C71","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (9,999 values; see Value List Summary and companion CSV)","","",,"F4-C72","Filter","Filter Review","OR",9999
"Physical - SLF-S FY 2026 accessions","""Physical Item Details"".""Barcode"" IN (5,281 values; see Value List Summary and companion CSV)","","",,"F4-C73","Filter","Filter Review","OR",5281
"Physical - UCB Physical Filters","""Location"".""Location Code"" <> 'lis'","","",,"F5-C74","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Location"".""Location Code"" <> 'nzw'","","",,"F5-C75","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Location"".""Location Code"" <> 'zwz'","","",,"F5-C76","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Location"".""Location Code"" NOT LIKE '%zw%'","","",,"F5-C77","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Location"".""Location Name"" NOT LIKE '%ithdraw%'","","",,"F5-C78","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Location"".""Location Name"" NOT LIKE '%ITHDRAW%'","","",,"F5-C79","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Physical Item Details"".""Statistics Note 2"" IS NULL","","",,"F5-C80","Filter","Filter Review","OR",0
"Physical - UCB Physical Filters","""Physical Item Details"".""Statistics Note 2"" IS NOT NULL","","",,"F5-C81","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Physical Item Details"".""Statistics Note 2"" NOT LIKE 'wds%'","","",,"F5-C82","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Physical Item Details"".""Statistics Note 2"" NOT LIKE 'wms%'","","",,"F5-C83","Filter","Filter Review","AND",0
"Physical - UCB Physical Filters","""Physical Item Details"".""Statistics Note 2"" NOT LIKE 'wor%'","","",,"F5-C84","Filter","Filter Review","AND",0
"Physical - UCB SCA exclusions","NOT (DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6532 AND ""Location"".""Library Code"" = 'BANC' AND ""Physical Item Details"".""Item Policy"" IN ('Other Archival Material', 'Personal Manuscript', 'UC Archival Manuscript', 'Visual Material: pictorial'))","","",,"F6-C85","Filter","Filter Review","AND",0
"Physical - UCB SCA exclusions","NOT (DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 6532 AND ""Location"".""Library Code"" = 'NRLF' AND ""Location"".""Location Code"" IN ('nbtbr', 'nbtur') AND ""Physical Item Details"".""Item Policy"" IN ('Other Archival Material', 'Personal Manuscript', 'UC Archival Manuscript', 'Visual Material: pictorial'))","","",,"F6-C86","Filter","Filter Review","AND",0
"Physical - UCD Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 3126 AND ""Location"".""Library Code"" = ('NRLF'))","","",,"F7-C87","Filter","Filter Review","AND",0
"Physical - UCD Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 3126 AND ""Location"".""Library Code"" = ('SRLF'))","","",,"F7-C88","Filter","Filter Review","AND",0
"Physical - UCD Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 3126 AND ""Location"".""Location Code"" = ('NRLF'))","","",,"F7-C89","Filter","Filter Review","AND",0
"Physical - UCI Physical Filters","""Location"".""Location Code"" NOT IN ('gmlml', 'gmlill', 'xlle', 'xllck', 'xllhk', 'xmllk', 'nrlf', 'srlfm', 'srlf', 'srlfr', 'llill_rsl', 'lawill_rsl', 'slill')","","",,"F8-C90","Filter","Filter Review","AND",13
"Physical - UCI Physical Filters","""Location"".""Location Name"" NOT IN ('zz', 'Problem location from Migration')","","",,"F8-C91","Filter","Filter Review","AND",2
"Physical - UCI Physical Filters","""Library Unit"".""Library Code"" NOT IN ('AYALA', 'OCSEAA')","","",,"F8-C92","Filter","Filter Review","AND",2
"Physical - UCI Physical Filters","""Location"".""Library Name"" NOT IN ('X_Do_Not_Use_Old_Orange County & Southeast Asian Archive Center', 'X_Do_Not_Use_Old_Science Library')","","",,"F8-C93","Filter","Filter Review","AND",2
"Physical - UCI Physical Filters","""Physical Item Details"".""Statistics Note 2"" IS NULL","","",,"F8-C94","Filter","Filter Review","OR",0
"Physical - UCI Physical Filters","""Physical Item Details"".""Statistics Note 2"" IS NOT NULL","","",,"F8-C95","Filter","Filter Review","AND",0
"Physical - UCI Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" = '-')","","",,"F8-C96","Filter","Filter Review","AND",0
"Physical - UCI Physical Filters","NOT(DESCRIPTOR_IDOF(""Physical Items"".""Institution"".""Institution Name"") = 4701 AND ""Physical Item Details"".""Statistics Note 2"" LIKE 'from%')","","",,"F8-C97","Filter","Filter Review","AND",0
