"catalog_index","source_file_name","object_title","object_kind","xml_root_name","closest_folder","closest_level_object","original_path","object_signature","subject_area","owner_id","creator_id","item_type_code","created_year","created_month","created_day","created_hour","created_minute","created_second","web_catalog_build","web_catalog_description"
21,"Annual Stats FY 2025-2026.catalog","eResources - Library Categories","dashboard_page","dashboardPage","UCI preparation review reports dashboard","UCI preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCI preparation review reports dashboard/eResources - Library Categories","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,12,22,4,31,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
22,"Annual Stats FY 2025-2026.catalog","eResources - Library Categories","dashboard_page","dashboardPage","UCB preparation review reports dashboard","UCB preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCB preparation review reports dashboard/eResources - Library Categories","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,8,20,49,2,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
23,"Annual Stats FY 2025-2026.catalog","UCB Library categorization report","report","report","Physical preparation review reports","Physical preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Physical preparation review reports/UCB Library categorization report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,2,15,36,37,"22.4.0.0.4 (Build BIPS-20251201174826.81 )","Report listing UCB libraries and locations (at UCB campus, SLF-N, and SLF-S) and how each library is categorized for annual stats reporting (General, Affiliates, Law, Health Science, Special (ARL only))"
24,"Annual Stats FY 2025-2026.catalog","Electronic - Global Stats Electronic Library Categories","saved_column","savedColumnObject","Annual Stats FY 2025-2026","Annual Stats FY 2025-2026","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Electronic - Global Stats Electronic Library Categories","cosavedcolumn1",,"HE_24764427990006531_6531_D_na07.alma.exlibrisgroup.com","HE_24764427990006531_6531_D_na07.alma.exlibrisgroup.com",4,2024,6,18,5,36,44,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
25,"Annual Stats FY 2025-2026.catalog","UCB eResources Library Categorization Report","report","report","Electronic preparation review reports","Electronic preparation review reports","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/Electronic preparation review reports/UCB eResources Library Categorization Report","queryitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,4,27,21,37,43,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
26,"Annual Stats FY 2025-2026.catalog","eResources - Library Categories","dashboard_page","dashboardPage","UCD preparation review reports dashboard","UCD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCD preparation review reports dashboard/eResources - Library Categories","dashboardpageitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,7,21,33,15,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
27,"Annual Stats FY 2025-2026.catalog","UCB Electronic Holdings and Titles Report","report","report","Electronic","Electronic","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/Electronic/UCB Electronic Holdings and Titles Report","queryitem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,1,15,46,30,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
28,"Annual Stats FY 2025-2026.catalog","eResources - Library Categories","dashboard_page","dashboardPage","UCSD preparation review reports dashboard","UCSD preparation review reports dashboard","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Preparation review reports/UCSD preparation review reports dashboard/eResources - Library Categories","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,5,21,22,8,32,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
29,"Annual Stats FY 2025-2026.catalog","dashboard layout","dashboard","dashboard","UCB FY 2025-26 annual statistics NZ-level output","UCB FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCB FY 2025-26 annual statistics NZ-level output/dashboard layout","dashboarditem1",,"HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com","HE_51947678370006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,1,16,11,7,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",
30,"Annual Stats FY 2025-2026.catalog","UCSC - Electronic (details)","dashboard_page","dashboardPage","UCSC FY 2025-26 annual statistics NZ-level output","UCSC FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCSC FY 2025-26 annual statistics NZ-level output/UCSC - Electronic (details)","dashboardpageitem1",,"HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com","HE_62927642820006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,41,38,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
31,"Annual Stats FY 2025-2026.catalog","UCI - Electronic (details)","dashboard_page","dashboardPage","UCI FY 2025-26 annual statistics NZ-level output","UCI FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCI FY 2025-26 annual statistics NZ-level output/UCI - Electronic (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,24,13,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
32,"Annual Stats FY 2025-2026.catalog","UCM - Electronic (details)","dashboard_page","dashboardPage","UCM FY 2025-26 annual statistics NZ-level output","UCM FY 2025-26 annual statistics NZ-level output","/shared/University of California System 01UCS_NETWORK/Reports/Local Requests/Annual Statistic Reports/Annual Stats FY 2025-2026/Final stats reports (for July 1)/UCM FY 2025-26 annual statistics NZ-level output/UCM - Electronic (details)","dashboardpageitem1",,"HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com","HE_26742315260006531_6531_D_na07.alma.exlibrisgroup.com",4,2026,6,17,17,38,55,"22.4.0.0.4 (Build BIPS-20251201174826.81 )",""
